  blen   clen S U reps  ns  sp|     naive/s|   trimmed/s    as pct nv|  ftrimmed/s    as pct nv|
 30500  10200 1 1  100   1 100|       345.5|    258636.7      74848.5|   +262099.7     +75850.7|
     7      7 0 0    1   5   1|   1220197.0|   8377520.6        686.6|  +9676674.1       +793.0|
     7      7 1 0    1   5   1|    969376.6|   7509623.3        774.7| +10105718.2      +1042.5|
    16      7 0 1    1   5   1|   1038950.1|   6947465.7        668.7|  +8495917.6       +817.7|
    16      7 1 1    1   5   1|    865742.2|   6751815.1        779.9|  +8707540.8      +1005.8|
    31     31 0 0    5   5   1|    456207.3|   7541014.5       1653.0| +10041596.4      +2201.1|
    31     31 1 0    5   5   1|    379287.1|   7402214.6       1951.6| +10288450.2      +2712.6|
    68     31 0 1    5   5   1|    365095.9|   7054263.2       1932.2|  +8625306.0      +2362.5|
    68     31 1 1    5   5   1|    342013.7|   6807226.5       1990.3|  +8700685.1      +2544.0|
    61     61 0 0   10   5   1|    230586.0|   7297541.8       3164.8| +10274830.1      +4456.0|
    61     61 1 0   10   5   1|    220239.0|   7386795.8       3354.0| +10217805.9      +4639.4|
   133     61 0 1   10   5   1|    203561.4|   6800147.8       3340.6|  +8235079.0      +4045.5|
   133     61 1 1   10   5   1|    196954.6|   6623697.8       3363.1|  +8202139.9      +4164.5|
   301    301 0 0   50   5   1|     51058.9|   6877429.7      13469.6|  +9472291.4     +18551.7|
   301    301 1 0   50   5   1|     50493.9|   7244103.8      14346.5|  +9488117.0     +18790.6|
   653    301 0 1   50   5   1|     45748.1|   5595020.0      12230.0|  +7892845.9     +17252.8|
   653    301 1 1   50   5   1|     45256.7|   5695030.2      12583.8|  +7373140.4     +16291.8|
   601    601 0 0  100   5   1|     26155.8|   7003219.6      26775.1|  +9450718.6     +36132.4|
   601    601 1 0  100   5   1|     25883.5|   7244734.5      27989.8|  +9545552.8     +36878.9|
  1303    601 0 1  100   5   1|     23402.1|   4598012.2      19647.8|  +5583783.8     +23860.2|
  1303    601 1 1  100   5   1|     22384.9|   4805513.5      21467.7|  +5431825.3     +24265.6|
    15     15 0 0    1   5   5|   1242607.5|   7291932.6        586.8|  +9113538.4       +733.4|
